"year"," Academy Award"," Winner"," Movie Name"," Producer"," IMDB Rating"," IMDB Votes","Tomatometer","Average Critic Score","Percent Audience Liked","Average Audience Score"
2012," 85th"," False"," Zero Dark Thirty"," Mark Boal",7.4,219293,92,8.6,80,8
2013," 86th"," False"," American Hustle"," Charles Roven",7.3,363690,93,8.2,74,7.6
2013," 86th"," False"," Captain Phillips"," Scott Rudin",7.9,329581,93,8.3,89,8.4
2013," 86th"," False"," Dallas Buyers Club"," Robbie Brenner and Rachel Winter",8,334002,94,7.8,91,8.4
2013," 86th"," False"," Gravity"," Alfonso Cuarón and David Heyman",10,7,96,9,80,8
2013," 86th"," False"," Her"," Megan Ellison",5.9,97,95,8.5,82,8
2013," 86th"," False"," Nebraska"," Albert Berger and Ron Yerxa",7.7,92423,91,8.1,83,8
2013," 86th"," False"," Philomena"," Gabrielle Tana",7.6,77401,92,7.8,89,8.2
2013," 86th"," True"," 12 Years a Slave"," Brad Pitt",8.1,452005,96,9,90,8.6
2013," 86th"," False"," The Wolf of Wall Street"," Martin Scorsese",8.2,804876,77,7.7,82,8
2014," 87th"," False"," American Sniper"," Clint Eastwood",7.3,333047,72,6.8,85,8.2
2014," 87th"," True"," Birdman or (The Unexpected Virtue of Ignorance)"," Alejandro G. Iñárritu",7.8,404650,91,8.5,77,7.8
2014," 87th"," False"," Boyhood"," Richard Linklater and Cathleen Sutherland",7.9,272461,98,9.2,81,8
2014," 87th"," False"," The Grand Budapest Hotel"," Wes Anderson",8.1,491790,92,8.4,86,8.2
2014," 87th"," False"," The Imitation Game"," Nora Grossman",8.1,488622,90,7.7,91,8.4
2014," 87th"," False"," Selma"," Christian Colson",7.5,62883,99,8.7,86,8.2
2014," 87th"," False"," The Theory of Everything"," Tim Bevan",7.7,274825,79,7.3,84,8
2014," 87th"," False"," Whiplash"," Jason Blum",8.5,420041,94,8.6,94,9
